"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2020",16.244976,
"AUS","EDUADULT","TRY","PC_25_64","A","2020",49.337452,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2020",34.417572,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2020",14.341329,
"AUT","EDUADULT","TRY","PC_25_64","A","2020",34.205894,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2020",51.452774,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2020",20.218918,
"BEL","EDUADULT","TRY","PC_25_64","A","2020",42.442284,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2020",37.338799,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2020",7.5580816,
"CAN","EDUADULT","TRY","PC_25_64","A","2020",59.961113,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2020",32.480804,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2020",5.9468889,
"CZE","EDUADULT","TRY","PC_25_64","A","2020",24.853664,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2020",69.199448,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2020",8.7888527,
"FIN","EDUADULT","TRY","PC_25_64","A","2020",47.874241,
"FIN","EDUADULT","UPPSRY","PC_25_64","A","2020",43.336906,
"FRA","EDUADULT","BUPPSRY","PC_25_64","A","2020",18.510624,
"FRA","EDUADULT","TRY","PC_25_64","A","2020",39.717316,
"FRA","EDUADULT","UPPSRY","PC_25_64","A","2020",41.77206,
"DEU","EDUADULT","BUPPSRY","PC_25_64","A","2020",13.894735,
"DEU","EDUADULT","TRY","PC_25_64","A","2020",31.255043,
"DEU","EDUADULT","UPPSRY","PC_25_64","A","2020",54.85022,
"GRC","EDUADULT","BUPPSRY","PC_25_64","A","2020",23.603962,
"GRC","EDUADULT","TRY","PC_25_64","A","2020",32.744011,
"GRC","EDUADULT","UPPSRY","PC_25_64","A","2020",43.652027,
"HUN","EDUADULT","BUPPSRY","PC_25_64","A","2020",14.426455,
"HUN","EDUADULT","TRY","PC_25_64","A","2020",27.203154,
"HUN","EDUADULT","UPPSRY","PC_25_64","A","2020",58.370392,
"ISL","EDUADULT","BUPPSRY","PC_25_64","A","2020",24.087782,
"ISL","EDUADULT","TRY","PC_25_64","A","2020",40.643898,
"ISL","EDUADULT","UPPSRY","PC_25_64","A","2020",35.268318,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2020",14.507091,
"IRL","EDUADULT","TRY","PC_25_64","A","2020",49.943962,
"IRL","EDUADULT","UPPSRY","PC_25_64","A","2020",35.548946,
"ITA","EDUADULT","BUPPSRY","PC_25_64","A","2020",37.138462,
"ITA","EDUADULT","TRY","PC_25_64","A","2020",20.135509,
"ITA","EDUADULT","UPPSRY","PC_25_64","A","2020",42.726028,
"KOR","EDUADULT","BUPPSRY","PC_25_64","A","2020",10.643816,
"KOR","EDUADULT","TRY","PC_25_64","A","2020",50.708714,
"KOR","EDUADULT","UPPSRY","PC_25_64","A","2020",38.647469,
"LUX","EDUADULT","BUPPSRY","PC_25_64","A","2020",25.849997,
"LUX","EDUADULT","TRY","PC_25_64","A","2020",51.312302,
"LUX","EDUADULT","UPPSRY","PC_25_64","A","2020",22.837704,
"MEX","EDUADULT","BUPPSRY","PC_25_64","A","2020",58.403774,
"MEX","EDUADULT","TRY","PC_25_64","A","2020",19.432951,
"MEX","EDUADULT","UPPSRY","PC_25_64","A","2020",22.163275,
"NLD","EDUADULT","BUPPSRY","PC_25_64","A","2020",18.97662,
"NLD","EDUADULT","TRY","PC_25_64","A","2020",42.644951,
"NLD","EDUADULT","UPPSRY","PC_25_64","A","2020",38.378426,
